time_s,chassis_travel_mm,front_left_smoothed_mm,front_right_smoothed_mm,rear_left_smoothed_mm,rear_right_smoothed_mm,front_left_raw_mm,front_right_raw_mm,rear_left_raw_mm,rear_right_raw_mm
0.000000,0.000000,23.665105,23.665105,46.786800,46.786800,-50.556955,-50.556955,0.000000,0.000000
0.002000,0.400000,23.941754,23.941754,46.786800,46.786800,-50.532329,-50.532329,0.254000,0.254000
0.004000,0.800000,24.217623,24.217623,46.786800,46.786800,-50.501498,-50.501498,0.558800,0.558800
0.006000,1.200000,24.492684,24.492684,46.786800,46.786800,-50.469277,-50.469277,0.863600,0.863600
0.008000,1.600000,24.766909,24.766909,46.786800,46.786800,-50.441370,-50.441370,1.117600,1.117600
0.010000,2.000000,25.040270,25.040270,46.786800,46.786800,-50.406617,-50.406617,1.422400,1.422400
0.012000,2.400000,25.312740,25.312740,46.786800,46.786800,-50.370492,-50.370492,1.727200,1.727200
0.014000,2.800000,25.584289,25.584289,46.786800,46.786800,-50.333001,-50.333001,2.032000,2.032000
0.016000,3.200000,25.854891,25.854891,46.786800,46.786800,-50.300719,-50.300719,2.286000,2.286000
0.018000,3.600000,26.124518,26.124518,46.786800,46.786800,-50.260739,-50.260739,2.590800,2.590800
0.020000,4.000000,26.393141,26.393141,46.786800,46.786800,-50.219410,-50.219410,2.895600,2.895600
0.022000,4.400000,26.660734,26.660734,46.786800,46.786800,-50.183942,-50.183942,3.149600,3.149600
0.024000,4.800000,26.927268,26.927268,46.786800,46.786800,-50.140154,-50.140154,3.454400,3.454400
0.026000,5.200000,27.192716,27.192716,46.786800,46.786800,-50.095033,-50.095033,3.759200,3.759200
0.028000,5.600000,27.457052,27.457052,46.786800,46.786800,-50.048585,-50.048585,4.064000,4.064000
0.030000,6.000000,27.720247,27.720247,46.786800,46.786800,-50.008869,-50.008869,4.318000,4.318000
0.032000,6.400000,27.982275,27.982275,46.786800,46.786800,-49.960002,-49.960002,4.622800,4.622800
0.034000,6.800000,28.243109,28.243109,46.786800,46.786800,-49.909824,-49.909824,4.927600,4.927600
