phase_mm,front_left_extension_mm,front_right_extension_mm,rear_left_extension_mm,rear_right_extension_mm
0.000000,117.236364,117.236364,0.000000,0.000000
0.279400,117.236364,117.236364,0.000000,0.000000
0.558800,117.236364,117.236364,0.000000,0.000000
0.838200,117.236364,117.236364,0.000000,0.000000
1.117600,117.236364,117.236364,0.000000,0.000000
1.397000,117.236364,117.236364,0.000000,0.000000
1.676400,117.236364,117.236364,0.000000,0.000000
1.955800,117.236364,117.236364,0.000000,0.000000
2.235200,117.236364,117.236364,0.000000,0.000000
2.514600,117.236364,117.236364,0.000000,0.000000
2.794000,117.236364,117.236364,0.000000,0.000000
3.073400,117.236364,117.236364,0.000000,0.000000
3.352800,117.236364,117.236364,0.000000,0.000000
3.632200,117.236364,117.236364,0.000000,0.000000
3.911600,117.236364,117.236364,0.000000,0.000000
4.191000,117.236364,117.236364,0.000000,0.000000
4.470400,117.236364,117.236364,0.000000,0.000000
4.749800,117.236364,117.236364,0.000000,0.000000
5.029200,117.236364,117.236364,0.000000,0.000000
5.308600,117.236364,117.236364,0.000000,0.000000
5.588000,117.236364,117.236364,0.000000,0.000000
5.867400,117.236364,117.236364,0.000000,0.000000
6.146800,117.236364,117.236364,0.000000,0.000000
6.426200,117.236364,117.236364,0.000000,0.000000
6.705600,117.236364,117.236364,0.000000,0.000000
6.985000,117.236364,117.236364,0.000000,0.000000
7.264400,117.236364,117.236364,0.000000,0.000000
7.543800,117.236364,117.236364,0.000000,0.000000
7.823200,117.236364,117.236364,0.000000,0.000000
8.102600,117.236364,117.236364,0.000000,0.000000
8.382000,117.236364,117.236364,0.000000,0.000000
8.661400,117.236364,117.236364,0.000000,0.000000
8.940800,117.236364,117.236364,0.000000,0.000000
9.220200,117.236364,117.236364,0.000000,0.000000
9.499600,117.236364,117.236364,0.000000,0.000000
9.779000,117.236364,117.236364,0.000000,0.000000
10.058400,117.236364,117.236364,0.000000,0.000000
10.337800,117.236364,117.236364,0.000000,0.000000
10.617200,117.236364,117.236364,0.000000,0.000000
10.896600,117.236364,117.236364,0.000000,0.000000
11.176000,117.236364,117.236364,0.000000,0.000000
11.455400,117.236364,117.236364,0.000000,0.000000
11.734800,117.236364,117.236364,0.000000,0.000000
12.014200,117.236364,117.236364,0.000000,0.000000
12.293600,117.236364,117.236364,0.000000,0.000000
12.573000,117.236364,117.236364,0.000000,0.000000
12.852400,117.236364,117.236364,0.000000,0.000000
13.131800,117.236364,117.236364,0.000000,0.000000
13.411200,117.236364,117.236364,0.000000,0.000000
13.690600,117.236364,117.236364,0.000000,0.000000
13.970000,117.236364,117.236364,0.000000,0.000000
14.249400,117.236364,117.236364,0.000000,0.000000
14.528800,117.236364,117.236364,0.000000,0.000000
14.808200,117.236364,117.236364,0.000000,0.000000
15.087600,117.236364,117.236364,0.000000,0.000000
15.367000,117.236364,117.236364,0.000000,0.000000
15.646400,117.236364,117.236364,0.000000,0.000000
15.925800,117.236364,117.236364,0.000000,0.000000
16.205200,117.236364,117.236364,0.000000,0.000000
16.484600,117.236364,117.236364,0.000000,0.000000
16.764000,117.236364,117.236364,0.000000,0.000000
17.043400,117.236364,117.236364,0.000000,0.000000
17.322800,117.236364,117.236364,0.000000,0.000000
17.602200,117.236364,117.236364,0.000000,0.000000
17.881600,117.236364,117.236364,0.000000,0.000000
18.161000,117.236364,117.236364,0.000000,0.000000
18.440400,117.236364,117.236364,0.000000,0.000000
18.719800,117.236364,117.236364,0.000000,0.000000
18.999200,117.236364,117.236364,0.000000,0.000000
19.278600,117.236364,117.236364,0.000000,0.000000
19.558000,117.236364,117.236364,0.000000,0.000000
19.837400,117.236364,117.236364,0.000000,0.000000
20.116800,117.236364,117.236364,0.000000,0.000000
20.396200,117.236364,117.236364,0.000000,0.000000
20.675600,117.236364,117.236364,0.000000,0.000000
20.955000,117.236364,117.236364,0.000000,0.000000
21.234400,117.236364,117.236364,0.000000,0.000000
21.513800,117.236364,117.236364,0.000000,0.000000
21.793200,117.236364,117.236364,0.000000,0.000000
22.072600,117.236364,117.236364,0.000000,0.000000
22.352000,117.236364,117.236364,0.000000,0.000000
22.631400,117.236364,117.236364,0.000000,0.000000
22.910800,117.236364,117.236364,0.000000,0.000000
23.190200,117.236364,117.236364,0.000000,0.000000
23.469600,117.236364,117.236364,0.000000,0.000000
23.749000,117.236364,117.236364,0.000000,0.000000
24.028400,117.236364,117.236364,0.000000,0.000000
24.307800,117.236364,117.236364,0.000000,0.000000
24.587200,117.236364,117.236364,0.000000,0.000000
24.866600,117.236364,117.236364,0.000000,0.000000
25.146000,117.236364,117.236364,0.000000,0.000000
25.425400,117.236364,117.236364,0.000000,0.000000
25.704800,117.236364,117.236364,0.000000,0.000000
25.984200,117.236364,117.236364,0.000000,0.000000
26.263600,117.236364,117.236364,0.000000,0.000000
26.543000,117.236364,117.236364,0.000000,0.000000
26.822400,117.236364,117.236364,0.000000,0.000000
27.101800,117.236364,117.236364,0.000000,0.000000
27.381200,117.236364,117.236364,0.000000,0.000000
27.660600,117.236364,117.236364,0.000000,0.000000
27.940000,117.236364,117.236364,0.000000,0.000000
28.219400,117.236364,117.236364,0.000000,0.000000
28.498800,117.236364,117.236364,0.000000,0.000000
28.778200,117.236364,117.236364,0.000000,0.000000
29.057600,117.236364,117.236364,0.000000,0.000000
29.337000,117.236364,117.236364,0.000000,0.000000
29.616400,117.236364,117.236364,0.000000,0.000000
29.895800,117.236364,117.236364,0.000000,0.000000
30.175200,117.236364,117.236364,0.000000,0.000000
30.454600,117.236364,117.236364,0.000000,0.000000
30.734000,117.236364,117.236364,0.000000,0.000000
31.013400,117.236364,117.236364,0.000000,0.000000
31.292800,117.236364,117.236364,0.000000,0.000000
31.572200,117.236364,117.236364,0.000000,0.000000
31.851600,117.236364,117.236364,0.000000,0.000000
32.131000,117.236364,117.236364,0.000000,0.000000
32.410400,117.236364,117.236364,0.000000,0.000000
32.689800,117.236364,117.236364,0.000000,0.000000
32.969200,117.236364,117.236364,0.000000,0.000000
33.248600,117.236364,117.236364,0.000000,0.000000
33.528000,117.236364,117.236364,0.000000,0.000000
33.807400,117.236364,117.236364,0.000000,0.000000
34.086800,117.236364,117.236364,0.000000,0.000000
34.366200,117.236364,117.236364,0.000000,0.000000
34.645600,117.236364,117.236364,0.000000,0.000000
34.925000,117.236364,117.236364,0.000000,0.000000
35.204400,117.236364,117.236364,0.000000,0.000000
35.483800,117.236364,117.236364,0.000000,0.000000
35.763200,117.236364,117.236364,0.000000,0.000000
36.042600,117.236364,117.236364,0.000000,0.000000
36.322000,117.236364,117.236364,0.000000,0.000000
36.601400,117.236364,117.236364,0.000000,0.000000
36.880800,117.236364,117.236364,0.000000,0.000000
37.160200,117.236364,117.236364,0.000000,0.000000
37.439600,117.236364,117.236364,0.000000,0.000000
37.719000,117.236364,117.236364,0.000000,0.000000
37.998400,117.236364,117.236364,0.000000,0.000000
38.277800,117.236364,117.236364,0.000000,0.000000
38.557200,117.236364,117.236364,0.000000,0.000000
38.836600,117.236364,117.236364,0.000000,0.000000
39.116000,117.236364,117.236364,0.000000,0.000000
39.395400,117.236364,117.236364,0.000000,0.000000
39.674800,117.236364,117.236364,0.000000,0.000000
39.954200,117.236364,117.236364,0.000000,0.000000
40.233600,117.236364,117.236364,0.000000,0.000000
40.513000,117.236364,117.236364,0.000000,0.000000
40.792400,117.236364,117.236364,0.000000,0.000000
41.071800,117.236364,117.236364,0.000000,0.000000
41.351200,117.236364,117.236364,0.000000,0.000000
41.630600,117.236364,117.236364,0.000000,0.000000
41.910000,117.236364,117.236364,0.000000,0.000000
42.189400,117.236364,117.236364,0.000000,0.000000
42.468800,117.236364,117.236364,0.000000,0.000000
42.748200,117.236364,117.236364,0.000000,0.000000
43.027600,117.236364,117.236364,0.000000,0.000000
43.307000,117.236364,117.236364,0.000000,0.000000
43.586400,117.236364,117.236364,0.000000,0.000000
43.865800,117.236364,117.236364,0.000000,0.000000
44.145200,117.236364,117.236364,0.000000,0.000000
44.424600,117.236364,117.236364,0.000000,0.000000
44.704000,117.236364,117.236364,0.000000,0.000000
44.983400,117.236364,117.236364,0.000000,0.000000
45.262800,117.236364,117.236364,0.000000,0.000000
45.542200,117.236364,117.236364,0.000000,0.000000
45.821600,117.236364,117.236364,0.000000,0.000000
46.101000,117.236364,117.236364,0.000000,0.000000
46.380400,117.236364,117.236364,0.000000,0.000000
46.659800,117.236364,117.236364,0.000000,0.000000
46.939200,117.236364,117.236364,0.000000,0.000000
47.218600,117.236364,117.236364,0.000000,0.000000
47.498000,117.236364,117.236364,0.000000,0.000000
47.777400,117.236364,117.236364,0.000000,0.000000
48.056800,117.236364,117.236364,0.000000,0.000000
48.336200,117.236364,117.236364,0.000000,0.000000
48.615600,117.236364,117.236364,0.000000,0.000000
48.895000,117.236364,117.236364,0.000000,0.000000
49.174400,117.236364,117.236364,0.000000,0.000000
49.453800,117.236364,117.236364,0.000000,0.000000
49.733200,117.236364,117.236364,0.000000,0.000000
50.012600,117.236364,117.236364,0.000000,0.000000
50.292000,117.236364,117.236364,0.000000,0.000000
50.571400,117.236364,117.236364,0.000000,0.000000
50.850800,117.236364,117.236364,0.000000,0.000000
51.130200,117.236364,117.236364,0.000000,0.000000
51.409600,117.236364,117.236364,0.000000,0.000000
51.689000,117.236364,117.236364,0.000000,0.000000
51.968400,117.236364,117.236364,0.000000,0.000000
52.247800,117.236364,117.236364,0.000000,0.000000
52.527200,117.236364,117.236364,0.000000,0.000000
52.806600,117.236364,117.236364,0.000000,0.000000
53.086000,117.236364,117.236364,0.000000,0.000000
53.365400,117.236364,117.236364,0.000000,0.000000
53.644800,117.236364,117.236364,0.000000,0.000000
53.924200,117.236364,117.236364,0.000000,0.000000
54.203600,117.236364,117.236364,0.000000,0.000000
54.483000,117.236364,117.236364,0.000000,0.000000
54.762400,117.236364,117.236364,0.000000,0.000000
55.041800,117.236364,117.236364,0.000000,0.000000
55.321200,117.236364,117.236364,0.000000,0.000000
55.600600,117.236364,117.236364,0.000000,0.000000
55.880000,117.236364,117.236364,0.000000,0.000000
56.159400,117.236364,117.236364,0.000000,0.000000
56.438800,117.236364,117.236364,0.000000,0.000000
56.718200,117.236364,117.236364,0.000000,0.000000
56.997600,117.236364,117.236364,0.000000,0.000000
57.277000,117.236364,117.236364,0.000000,0.000000
57.556400,117.236364,117.236364,0.000000,0.000000
57.835800,117.236364,117.236364,0.000000,0.000000
58.115200,117.236364,117.236364,0.000000,0.000000
58.394600,117.236364,117.236364,0.000000,0.000000
58.674000,117.236364,117.236364,0.000000,0.000000
58.953400,117.236364,117.236364,0.000000,0.000000
59.232800,117.236364,117.236364,0.000000,0.000000
59.512200,117.236364,117.236364,0.000000,0.000000
59.791600,117.236364,117.236364,0.000000,0.000000
60.071000,117.236364,117.236364,0.000000,0.000000
60.350400,117.236364,117.236364,0.000000,0.000000
60.629800,117.236364,117.236364,0.000000,0.000000
60.909200,117.236364,117.236364,0.000000,0.000000
61.188600,117.236364,117.236364,0.000000,0.000000
61.468000,117.236364,117.236364,0.000000,0.000000
61.747400,117.236364,117.236364,0.000000,0.000000
62.026800,117.236364,117.236364,0.000000,0.000000
62.306200,117.236364,117.236364,0.000000,0.000000
62.585600,117.236364,117.236364,0.000000,0.000000
62.865000,117.236364,117.236364,0.000000,0.000000
63.144400,117.236364,117.236364,0.000000,0.000000
63.423800,117.236364,117.236364,0.000000,0.000000
63.703200,117.236364,117.236364,0.000000,0.000000
63.982600,117.236364,117.236364,0.000000,0.000000
